artist,title,website,date,,_5,screenshots,archive available at,archive capture link,can access,base url
monika bravo b. 1964,FOR THE TIME BEING...,http://www.sololab.com,1998,,,artport_whitney_org_2001/screenshots/25.png,0,,Y,sololab.com
monika bravo b. 1964,INFINITE HORIZON,http://www.sololab.com,2001,,,artport_whitney_org_2001/screenshots/26.png,20010330182129,http://web.archive.org/web/20010330182129/http://www.sololab.com,Y,sololab.com
monika bravo b. 1964,LABYRINTHS,http://www.sololab.com,2001,,,artport_whitney_org_2001/screenshots/27.png,20010330182129,http://web.archive.org/web/20010330182129/http://www.sololab.com,Y,sololab.com
monika bravo b. 1964,symphasis* simultaneous appearances,http://www.sololab.com/monika_bravo.html,2000,,,artport_whitney_org_2001/screenshots/28.png,20011031023833,http://web.archive.org/web/20011031023833/http://www.sololab.com/monika_bravo.html,Y,sololab.com
monika bravo b. 1964,SYNCHRONICITY,http://www.sololab.com/monika_bravo.html,1999,,,artport_whitney_org_2001/screenshots/29.png,20011031023833,http://web.archive.org/web/20011031023833/http://www.sololab.com/monika_bravo.html,Y,sololab.com
monika bravo b. 1964,"TAXIDIA * ""the cloudmakers"" * ""the search""",http://www.sololab.com,1997,,,artport_whitney_org_2001/screenshots/30.png,20010330182129,http://web.archive.org/web/20010330182129/http://www.sololab.com,Y,sololab.com
Mez Breeze,>di][e][lation ][wo][manifesto,http://netwurkerz.de/mez/dielation/dilation1.htm,2001,,,artport_whitney_org_2001/screenshots/31.png,20010526183822,http://web.archive.org/web/20010526183822/http://netwurkerz.de/mez/dielation/dilation1.htm,Y,netwurkerz.de
Mez Breeze,][select][Text,http://netwurkerz.de/mez/selectext/,2001,,,artport_whitney_org_2001/screenshots/32.png,20011029071454,http://web.archive.org/web/20011029071454/http://netwurkerz.de/mez/selectext/,Y,netwurkerz.de
Mez Breeze,_Ah.genda_,http://www.experimenta.org/gallery/mezsite/agenda1.htm,1999,,,artport_whitney_org_2001/screenshots/33.png,20001022230702,http://web.archive.org/web/20001022230702/http://www.experimenta.org/gallery/mezsite/agenda1.htm,Y,experimenta.org
Mez Breeze,_Cutting Spaces_,http://www.hotkey.net.au/~netwurker/cutspace.htm,1995,,,Failed to capture screenshot,20010419165208,http://web.archive.org/web/20010419165208/http://www.hotkey.net.au/~netwurker/cutspace.htm,N,hotkey.net.au
Mez Breeze,_datahbabee Vs NarrowBranding_,http://trace.ntu.ac.uk/frame5/mez/tubic1.htm,2000,,,Failed to capture screenshot,20010306073916,http://web.archive.org/web/20010306073916/http://trace.ntu.ac.uk/frame5/mez/tubic1.htm,N,ntu.ac.uk
Mez Breeze,iN-ternal damage report vers 1.1.,http://ctheory.concordia.ca/multimedia/dirt/fleshistics/page_1.htm,1997,,,Failed to capture screenshot,19990825062453,http://web.archive.org/web/19990825062453/http://ctheory.concordia.ca/multimedia/dirt/fleshistics/page_1.htm,N,concordia.ca
Reginald Brooks b. 1948,RealSurReal...aClone,http://www.brooksdesign-cg/Code/Html/netart2.htm,2001,,,Failed to capture screenshot,0,,N,www.brooksdesign-cg
Sawad Brooks; Beth Stryker,DissemiNET,http://disseminet.walkerart.org/,1998,,,artport_whitney_org_2001/screenshots/38.png,19990823203943,http://web.archive.org/web/19990823203943/http://disseminet.walkerart.org/,Y,walkerart.org
Sawad Brooks,Lapses and Erasures,http://www.thing.net/~sawad/erase/,1998,,,artport_whitney_org_2001/screenshots/39.png,19990224171659,http://web.archive.org/web/19990224171659/http://www.thing.net/~sawad/erase/,Y,thing.net
Danny Brown,Noodlebox,http://www.noodlebox.com,1997,,,artport_whitney_org_2001/screenshots/40.png,20000303220227,http://web.archive.org/web/20000303220227/http://www.noodlebox.com,Y,noodlebox.com
Sheldon Brown b. 1962,Mi Casa es Tu Casa,http://www-crca.ucsd.edu/~sheldon/micasa/index.htm,1997,,,Failed to capture screenshot,19990903001727,http://web.archive.org/web/19990903001727/http://www-crca.ucsd.edu/~sheldon/micasa/index.htm,N,ucsd.edu
Heath Bunting,Own; Be Owned; or Remain Invisible,http://www.irational.org/heath/_readme.html,1998,,,artport_whitney_org_2001/screenshots/42.png,19990202175927,http://web.archive.org/web/19990202175927/http://www.irational.org/heath/_readme.html,Y,irational.org
Ed Burton,Soda Constructor,http://www.sodaplay.com,2000,,,artport_whitney_org_2001/screenshots/43.png,20000619094909,http://web.archive.org/web/20000619094909/http://www.sodaplay.com,Y,sodaplay.com
John Cabral,GroundZero,http://www.turbulence.org/Works/groundzero/index.html,2001,,,artport_whitney_org_2001/screenshots/44.png,20010426185200,http://web.archive.org/web/20010426185200/http://www.turbulence.org/Works/groundzero/index.html,Y,turbulence.org
Steve Cannon,Text.ure,http://text.ure.org,1999,,,Failed to capture screenshot,19990831170924,http://web.archive.org/web/19990831170924/http://text.ure.org,N,ure.org
Scott Carter b. 1979,!hobgoblin,http://www.madpickle.com/scott/sdd/hobgoblin/,2001,,,artport_whitney_org_2001/screenshots/46.png,20011208022908,http://web.archive.org/web/20011208022908/http://www.madpickle.com/scott/sdd/hobgoblin/,Y,madpickle.com
Young-Hae Chang,YOUNG-HAE CHANG HEAVY INDUSTRIES,http://www.yhchang.com,2000,,,artport_whitney_org_2001/screenshots/47.png,20000816022552,http://web.archive.org/web/20000816022552/http://www.yhchang.com,Y,yhchang.com
Andrew Childs,megatight,http://www.megatight.com,2001,,,artport_whitney_org_2001/screenshots/48.png,20010417131322,http://web.archive.org/web/20010417131322/http://www.megatight.com,Y,megatight.com
Peter Cho,Type Me; Type Me Not,http://acg.media.mit.edu/people/golan/,1997,,,artport_whitney_org_2001/screenshots/49.png,19990128182028,http://web.archive.org/web/19990128182028/http://acg.media.mit.edu/people/golan/,Y,mit.edu
Janet Cohen b. 1960;Keith Frank b. 1965;Jon Ippolito b. 1962,The Unreliable Archivist,http://www.walkerart.org/gallery9/three,1999,,,artport_whitney_org_2001/screenshots/50.png,20010223234506,http://web.archive.org/web/20010223234506/http://www.walkerart.org/gallery9/three,Y,walkerart.org
Shoshana Cohen,HomeSweetHome,http://web.macam98.ac.il/%7Eshow/HomeSweetHome/,1998,,,Failed to capture screenshot,20010611052615,http://web.archive.org/web/20010611052615/http://web.macam98.ac.il/%7Eshow/HomeSweetHome/,N,ac.il
Shoshana Cohen,Questions - An Artists Kit for Survival,http://www.wizocollege.macam98.ac.il/s_art/questions/default.html,1997,,,Failed to capture screenshot,20010210015352,http://web.archive.org/web/20010210015352/http://www.wizocollege.macam98.ac.il/s_art/questions/default.html,N,ac.il
Vuk Cosic,ASCII History Of Moving Images,http://www.ljudmila.org/~vuk/ascii/film/,1998,,,artport_whitney_org_2001/screenshots/53.png,20010430205707,http://web.archive.org/web/20010430205707/http://www.ljudmila.org/~vuk/ascii/film/,Y,ljudmila.org
David Crawford,Here And Now,http://www.lightofspeed.com/now/,1999,,,artport_whitney_org_2001/screenshots/54.png,20000830112039,http://web.archive.org/web/20000830112039/http://www.lightofspeed.com/now/,Y,lightofspeed.com
Mark Daggett b. 1975,,http://www.flavoredthunder.com/index3.html,2001,,,Failed to capture screenshot,19991003180320,http://web.archive.org/web/19991003180320/http://www.flavoredthunder.com/index3.html,N,flavoredthunder.com
Mark Daggett b. 1975,analysis_engine,http://www.flavoredthunder.com/analysis_engine/,1999,,,Failed to capture screenshot,19991003020805,http://web.archive.org/web/19991003020805/http://www.flavoredthunder.com/analysis_engine/,N,flavoredthunder.com
Mark Daggett b. 1975,Browser Gestures,http://www.flavoredthunder.com/dev/browser-gestures/,2001,,,Failed to capture screenshot,20010702210406,http://web.archive.org/web/20010702210406/http://www.flavoredthunder.com/dev/browser-gestures/,N,flavoredthunder.com
Mark Daggett b. 1975,Trace-Root,http://www.flavoredthunder.com/invert/trace-root/,2000,,,Failed to capture screenshot,20010502163755,http://web.archive.org/web/20010502163755/http://www.flavoredthunder.com/invert/trace-root/,N,flavoredthunder.com
Joshua Davis,Praystation,http://www.praystation.com/,2000,,,Failed to capture screenshot,19981202010503,http://web.archive.org/web/19981202010503/http://www.praystation.com/,N,praystation.com
Andy Deck,CultureMap,http://www.artcontext.org/cultmap/index.php,1999,,,artport_whitney_org_2001/screenshots/60.png,0,,Y,artcontext.org
Andy Deck,Open Studio,http://draw.artcontext.net/,1990,,,artport_whitney_org_2001/screenshots/61.png,20010302031359,http://web.archive.org/web/20010302031359/http://draw.artcontext.net/,Y,artcontext.net
Joss Deutsch b. 1962,PDA art,http://www.geocities.com/immjoss/PDAart,2001,,,artport_whitney_org_2001/screenshots/62.png,20021114050509,http://web.archive.org/web/20021114050509/http://www.geocities.com/immjoss/PDAart,Y,geocities.com
Roberto Echen b. 1957,chaos about Vesta's coat,http://www.rechen.f2s.com/vestachaos_all.html,2001,,,artport_whitney_org_2001/screenshots/63.png,20011205165418,http://web.archive.org/web/20011205165418/http://www.rechen.f2s.com/vestachaos_all.html,Y,f2s.com
Roberto Echen b. 1957,circus,http://www.rechen.f2s.com/circus.html,2000,,,artport_whitney_org_2001/screenshots/64.png,20010713144450,http://web.archive.org/web/20010713144450/http://www.rechen.f2s.com/circus.html,Y,f2s.com
Roberto Echen b. 1957,city lights,http://www.rechen.f2s.com/citylights.html,2000,,,artport_whitney_org_2001/screenshots/65.png,20010713143900,http://web.archive.org/web/20010713143900/http://www.rechen.f2s.com/citylights.html,Y,f2s.com
Roberto Echen b. 1957,claim,http://www.rechen.f2s.com/claim.html,2000,,,artport_whitney_org_2001/screenshots/66.png,20010713141535,http://web.archive.org/web/20010713141535/http://www.rechen.f2s.com/claim.html,Y,f2s.com
Roberto Echen b. 1957,dialog 0,http://www.rechen.f2s.com/ascLang.html,2000,,,artport_whitney_org_2001/screenshots/67.png,20010713143424,http://web.archive.org/web/20010713143424/http://www.rechen.f2s.com/ascLang.html,Y,f2s.com
Roberto Echen b. 1957,Drowning by numbers,http://www.rechen.f2s.com/Numbers2.html,2001,,,artport_whitney_org_2001/screenshots/68.png,20010713142457,http://web.archive.org/web/20010713142457/http://www.rechen.f2s.com/Numbers2.html,Y,f2s.com
etoy,etoy.CORPORATION,http://www.etoy.com,1995,,,artport_whitney_org_2001/screenshots/69.png,19961104074842,http://web.archive.org/web/19961104074842/http://www.etoy.com,Y,etoy.com
etoy,toywar,http://toywar.com/,1999,,,artport_whitney_org_2001/screenshots/70.png,20000510102028,http://web.archive.org/web/20000510102028/http://toywar.com/,Y,toywar.com
everything Editorial,The London Borough of Cramley,http://bak.spc.org/everything/cramley/cramleycentre.html,1996,,,artport_whitney_org_2001/screenshots/71.png,20020614054051,http://web.archive.org/web/20020614054051/http://bak.spc.org/everything/cramley/cramleycentre.html,Y,spc.org
fbwn,fbwn.net,http://www.fbwn.net,2001,,,artport_whitney_org_2001/screenshots/72.png,20040429132205,http://web.archive.org/web/20040429132205/http://www.fbwn.net,Y,fbwn.net
Ken Feingold b. 1952,JCJ-Junkman,http://www.kenfeingold.com/jcj1.html,1995,,,artport_whitney_org_2001/screenshots/73.png,19981202071139,http://web.archive.org/web/19981202071139/http://www.kenfeingold.com/jcj1.html,Y,kenfeingold.com
Ken Feingold b. 1952,Porncounter,http://www.kenfeingold.com/cgi-bin/pcounter.cgi,1996,,,artport_whitney_org_2001/screenshots/74.png,20010302132814,http://web.archive.org/web/20010302132814/http://www.kenfeingold.com/cgi-bin/pcounter.cgi,Y,kenfeingold.com
Ken Feingold b. 1952,REKD,http://www.kenfeingold.com/cgi-bin/rekd.cgi,1996,,,artport_whitney_org_2001/screenshots/75.png,19990912215303,http://web.archive.org/web/19990912215303/http://www.kenfeingold.com/cgi-bin/rekd.cgi,Y,kenfeingold.com
Ken Feingold b. 1952,Seance Box No. 1,http://www.kenfeingold.com/index.html#seance,1998,,,artport_whitney_org_2001/screenshots/76.png,,http://web.archive.org/web/undefined/http://www.kenfeingold.com/index.html#seance,Y,kenfeingold.com
Ken Feingold b. 1952,Self Portrait as the Center of the Universe,http://www.kenfeingold.com/feingold/index.html,2001,,,artport_whitney_org_2001/screenshots/77.png,20010814084625,http://web.archive.org/web/20010814084625/http://www.kenfeingold.com/feingold/index.html,Y,kenfeingold.com
Ken Feingold b. 1952,where i can see my house from here so we are,http://www.kenfeingold.com/index.html#where_i,1993,,,artport_whitney_org_2001/screenshots/78.png,,http://web.archive.org/web/undefined/http://www.kenfeingold.com/index.html#where_i,Y,kenfeingold.com
Carol Flax b. 1952,Crossing a Divide,http://www.arts.arizona.edu/boundaries,2001,,,artport_whitney_org_2001/screenshots/79.png,20010608225408,http://web.archive.org/web/20010608225408/http://www.arts.arizona.edu/boundaries,Y,arizona.edu
Carol Flax b. 1952,Ex/Changing Families,http://www.cmp.ucr.edu/ex/changing/,1998,,,Failed to capture screenshot,19970207234623,http://web.archive.org/web/19970207234623/http://www.cmp.ucr.edu/ex/changing/,N,ucr.edu
Carol Flax b. 1952,Gravity,http://www.arts.arizona.edu/flax/gravity/,2000,,,artport_whitney_org_2001/screenshots/81.png,20011123211527,http://web.archive.org/web/20011123211527/http://www.arts.arizona.edu/flax/gravity/,Y,arizona.edu
Carol Flax b. 1952,Journeys:1900/2000,http://www.arts.arizona.edu/flax/journeys,2001,,,artport_whitney_org_2001/screenshots/82.png,20010617122631,http://web.archive.org/web/20010617122631/http://www.arts.arizona.edu/flax/journeys,Y,arizona.edu
Carol Flax b. 1952,M/Other Stories,http://www.arts.arizona.edu/flax/,1998,,,artport_whitney_org_2001/screenshots/83.png,19990202083143,http://web.archive.org/web/19990202083143/http://www.arts.arizona.edu/flax/,Y,arizona.edu
Carol Flax b. 1952,Sometimes,http://www.mintmuseum.org/cflax/,1999,,,artport_whitney_org_2001/screenshots/84.png,19970115124836,http://web.archive.org/web/19970115124836/http://www.mintmuseum.org/cflax/,Y,mintmuseum.org
Ben Fry,Anemone,http://acg.media.mit.edu/people/fry/anemone/applet/,2001,,,artport_whitney_org_2001/screenshots/85.png,20010215042957,http://web.archive.org/web/20010215042957/http://acg.media.mit.edu/people/fry/anemone/applet/,Y,mit.edu
Joy Garnett,Bomb Project (The),http://www.thebombproject.org,2000,,,artport_whitney_org_2001/screenshots/86.png,20010124020200,http://web.archive.org/web/20010124020200/http://www.thebombproject.org,Y,thebombproject.org
GashGirl b. 1984,dollspace,http://www.thing.net/~dollyoko,1997,,,artport_whitney_org_2001/screenshots/87.png,19981206082049,http://web.archive.org/web/19981206082049/http://www.thing.net/~dollyoko,Y,thing.net
GashGirl b. 1984,liquid_nation,http://www.thing.net/~dollyoko/ID/LN/TEXT/LN01.HTM,1999,,,artport_whitney_org_2001/screenshots/88.png,0,,Y,thing.net
GashGirl b. 1984,los dias u las noches de los muertos,http://www.thing.net/~dollyoko/LOSDIAS/INDEX.HTML,1998,,,artport_whitney_org_2001/screenshots/89.png,19990429044644,http://web.archive.org/web/19990429044644/http://www.thing.net/~dollyoko/LOSDIAS/INDEX.HTML,Y,thing.net
Glorious Ninth,Who_Owns_Them_Controls,http://www.gloriousninth.com/who_owns_them_controls.html,2001,,,artport_whitney_org_2001/screenshots/90.png,20020206175545,http://web.archive.org/web/20020206175545/http://www.gloriousninth.com/who_owns_them_controls.html,Y,gloriousninth.com
Ken Goldberg b. 1961,Dislocation of Intimacy,http://www.dislocation.net,1998,,,artport_whitney_org_2001/screenshots/91.png,19990116231820,http://web.archive.org/web/19990116231820/http://www.dislocation.net,Y,dislocation.net
Ken Goldberg b. 1961,Mori,http://memento.ieor.berkeley.edu,1999,,,artport_whitney_org_2001/screenshots/92.png,19981202192341,http://web.archive.org/web/19981202192341/http://memento.ieor.berkeley.edu,Y,berkeley.edu
Ken Goldberg b. 1961,Ouija 2000,http://ouija.berkeley.edu,2000,,,artport_whitney_org_2001/screenshots/93.png,20000511183707,http://web.archive.org/web/20000511183707/http://ouija.berkeley.edu,Y,berkeley.edu
Ken Goldberg b. 1961,Telegarden,http://telegarden.aec.at,1995,,,Failed to capture screenshot,19961231025722,http://web.archive.org/web/19961231025722/http://telegarden.aec.at,N,aec.at
Auriea Harvey; Michael Samyn,eden.garden 1.0,http://eden.garden1.0.projects.sfmoma.org/,2001,,,Failed to capture screenshot,20010220201853,http://web.archive.org/web/20010220201853/http://eden.garden1.0.projects.sfmoma.org/,N,sfmoma.org
Auriea Harvey; Michael Samyn,Skinonskinonskin,http://entropy8zuper.org/skinonskinonskin/,1999,,,artport_whitney_org_2001/screenshots/96.png,20010411031047,http://web.archive.org/web/20010411031047/http://entropy8zuper.org/skinonskinonskin/,Y,entropy8zuper.org
Jenny Holzer,Please Change Beliefs,http://adaweb.walkerart.org/project/holzer/cgi/pcb.cgi,1996,,,artport_whitney_org_2001/screenshots/97.png,19990508063905,http://web.archive.org/web/19990508063905/http://adaweb.walkerart.org/project/holzer/cgi/pcb.cgi,Y,walkerart.org
G.H. Hovagimyan b. 1950,A soaPOPera For Laptops,http://www.thing.net/~soapop,1998,,,artport_whitney_org_2001/screenshots/98.png,20000925201232,http://web.archive.org/web/20000925201232/http://www.thing.net/~soapop,Y,thing.net
G.H. Hovagimyan b. 1950,Art Direct/ Sex; Violence & Politics,http://www.thing.net/~gh/artdirect,1996,,,artport_whitney_org_2001/screenshots/99.png,19981206232538,http://web.archive.org/web/19981206232538/http://www.thing.net/~gh/artdirect,Y,thing.net
G.H. Hovagimyan b. 1950; Adrianne Wortzel,Art Dirt,http://www.walkerart.org/gallery9/dasc/artdirt,1996,,,artport_whitney_org_2001/screenshots/100.png,20010124104300,http://web.archive.org/web/20010124104300/http://www.walkerart.org/gallery9/dasc/artdirt,Y,walkerart.org
G.H. Hovagimyan b. 1950,Collider,http://bbs.thing.net,1998,,,artport_whitney_org_2001/screenshots/101.png,20040518010025,http://web.archive.org/web/20040518010025/http://bbs.thing.net,Y,thing.net
G.H. Hovagimyan b. 1950;Yael Kanarek b. 1967; MTAA - m.river & t.whid,EntertainMe (from the Warhol Hijack),http://artnetweb.com/gh/hijack.html,2001,,,artport_whitney_org_2001/screenshots/102.png,20010423083300,http://web.archive.org/web/20010423083300/http://artnetweb.com/gh/hijack.html,Y,artnetweb.com
G.H. Hovagimyan b. 1950,Faux Conceptual Art,http://rhizhome.org/artbase/2204/fauxcon/home.html,1995,,,artport_whitney_org_2001/screenshots/103.png,20100228061650,http://web.archive.org/web/20100228061650/http://rhizhome.org/artbase/2204/fauxcon/home.html,Y,rhizhome.org
I/O/D,Web Stalker,http://www.backspace.org/iod/,1997,,,artport_whitney_org_2001/screenshots/104.png,19990209174805,http://web.archive.org/web/19990209174805/http://www.backspace.org/iod/,Y,backspace.org
Jon Ippolito b. 1962;Keith Frank b. 1965;Janet Cohen b. 1960,Agree to Disagree,http://www.three.org/agreetodisagree,1996,,,artport_whitney_org_2001/screenshots/105.png,20010602112547,http://web.archive.org/web/20010602112547/http://www.three.org/agreetodisagree,Y,three.org
Jon Ippolito b. 1962;Keith Frank b. 1965;Joline Blais b. 1960,Fair e-Tales,http://www.three.org/fairetales/,2000,,,artport_whitney_org_2001/screenshots/106.png,20010602111958,http://web.archive.org/web/20010602111958/http://www.three.org/fairetales/,Y,three.org
Jon Ippolito b. 1962;Keith Frank b. 1965;Janet Cohen b. 1960,Sentences on Adversarial Collaboration,http://www.three.org/sentencesonadversarialcollaboration,1994,,,artport_whitney_org_2001/screenshots/107.png,0,,Y,three.org
Jon Ippolito b. 1962;Keith Frank b. 1965;Janet Cohen b. 1960,Variorum of Past Projects,http://www.three.org/variorumofpastprojects,1997,,,artport_whitney_org_2001/screenshots/108.png,20011206001607,http://web.archive.org/web/20011206001607/http://www.three.org/variorumofpastprojects,Y,three.org
Jessica Irish b. 1969,: inflat : o : scape :,http://www.inflatoscape.com,2001,,,Failed to capture screenshot,20010331192253,http://web.archive.org/web/20010331192253/http://www.inflatoscape.com,N,inflatoscape.com
diana jeon,being invisible,http://www.flex.com/~dianaj,2000,,,artport_whitney_org_2001/screenshots/110.png,20010404092748,http://web.archive.org/web/20010404092748/http://www.flex.com/~dianaj,Y,flex.com
Lisa Jevbratt,1:1,http://www.c5corp.com/1to1/,1999,,,artport_whitney_org_2001/screenshots/111.png,20000815221031,http://web.archive.org/web/20000815221031/http://www.c5corp.com/1to1/,Y,c5corp.com
cygin66 jimpunk b. 1966,jimpunk,http://www.jimpunk.com,2000,,,artport_whitney_org_2001/screenshots/112.png,20010223195938,http://web.archive.org/web/20010223195938/http://www.jimpunk.com,Y,jimpunk.com
jodi,jodi.org,http://jodi.org,1996,,,artport_whitney_org_2001/screenshots/113.png,19961108051821,http://web.archive.org/web/19961108051821/http://jodi.org,Y,jodi.org
Brian Judy b. 1960,Maracatu,http://www.boogaholler.com/webart/rtventures/maracatu.htm,2000,,,artport_whitney_org_2001/screenshots/114.png,20001030114127,http://web.archive.org/web/20001030114127/http://www.boogaholler.com/webart/rtventures/maracatu.htm,Y,boogaholler.com
Brian Judy b. 1960,The Grid,http://www.boogaholler.com/webart/index.html,2000,,,artport_whitney_org_2001/screenshots/115.png,20000521040616,http://web.archive.org/web/20000521040616/http://www.boogaholler.com/webart/index.html,Y,boogaholler.com
Eduardo Kac b. 1962,Ornitorrinco,http://www.ekac.org/ornitorrincoM.html,1989,,,artport_whitney_org_2001/screenshots/116.png,19981207032334,http://web.archive.org/web/19981207032334/http://www.ekac.org/ornitorrincoM.html,Y,ekac.org
Eduardo Kac b. 1962,Rara Avis,http://www.ekac.org/raraavis.html,1996,,,artport_whitney_org_2001/screenshots/117.png,19990219180914,http://web.archive.org/web/19990219180914/http://www.ekac.org/raraavis.html,Y,ekac.org
Eduardo Kac b. 1962,RC Robot,http://www.ekac.org/robot.big.html,1986,,,artport_whitney_org_2001/screenshots/118.png,19990220041047,http://web.archive.org/web/19990220041047/http://www.ekac.org/robot.big.html,Y,ekac.org
Eduardo Kac b. 1962,Time Capsule,http://www.ekac.org/timec.html,1997,,,artport_whitney_org_2001/screenshots/119.png,19981205052148,http://web.archive.org/web/19981205052148/http://www.ekac.org/timec.html,Y,ekac.org
Yael Kanarek b. 1967,World of Awe,http://www.worldofawe.net,1995,,,artport_whitney_org_2001/screenshots/120.png,20001018124739,http://web.archive.org/web/20001018124739/http://www.worldofawe.net,Y,worldofawe.net
